Date,Open,High,Low,Close,Adj Close,Volume,,,,
22/10/2012,133643,134000,131800,132609,132609,618,,,,
23/10/2012,131250,131600,130261,130570,130570,789,,,,
24/10/2012,131357,131555,130265,130445,130445,488,,,,
25/10/2012,131060,131060,130248,130582,130582,461,,,,
26/10/2012,130899,130899,129475,129725,129725,568,,,,
31/10/2012,130500,130500,129264,129505,129505,1009,,,,
01/11/2012,130053,131433,129784,131400,131400,816,,,,
02/11/2012,132638,132638,130402,130550,130550,286,,,,
05/11/2012,130755,130755,128150,130300,130300,780,,,,
06/11/2012,130516,131066,129971,130673,130673,680,,,,
07/11/2012,130205,130228,127962,128359,128359,605,,,,
08/11/2012,128605,129711,126900,126900,126900,798,,,,
09/11/2012,126847,128738,125950,127585,127585,726,,,,
12/11/2012,128250,128498,127793,128160,128160,507,,,,
13/11/2012,127845,130110,127659,128925,128925,636,,,,
14/11/2012,129745,129745,127800,128150,128150,832,,,,
15/11/2012,128150,128920,127700,128178,128178,587,,,,
16/11/2012,128475,129345,127500,129345,129345,497,,,,
19/11/2012,130030,130556,129531,130000,130000,737,,,,
20/11/2012,130145,130282,129332,130203,130203,316,,,,
21/11/2012,130300,131321,130170,131310,131310,604,,,,
23/11/2012,131718,132606,131700,132606,132606,237,,,,
26/11/2012,132237,132500,131943,132411,132411,502,,,,
27/11/2012,132400,132956,132001,132004,132004,488,,,,
28/11/2012,131800,132415,130955,132291,132291,940,,,,
29/11/2012,132795,132924,131495,131875,131875,478,,,,
30/11/2012,131873,132420,131617,131916,131916,659,,,,
03/12/2012,132373,132850,131700,131890,131890,519,,,,
04/12/2012,131775,131887,130733,130890,130890,442,,,,
05/12/2012,131048,131908,130545,131444,131444,649,,,,
06/12/2012,131695,131801,130764,131240,131240,457,,,,
07/12/2012,131420,131544,130500,131090,131090,453,,,,
10/12/2012,131090,131090,130497,130788,130788,716,,,,
11/12/2012,130859,131349,130432,130831,130831,908,,,,
12/12/2012,131100,135010,131100,134000,134000,3327,,,,
13/12/2012,134500,134745,133542,134200,134200,1458,,,,
14/12/2012,134375,134561,133662,133795,133795,930,,,,
17/12/2012,134495,135000,134320,134850,134850,1468,,,,
18/12/2012,134980,135700,134750,135700,135700,2127,,,,
19/12/2012,135000,136015,134720,135200,135200,1478,,,,
20/12/2012,135055,136208,135025,135936,135936,1585,,,,
21/12/2012,135145,135677,134550,134800,134800,1116,,,,
24/12/2012,134305,135002,134003,134660,134660,691,,,,
26/12/2012,134650,134940,133511,133927,133927,904,,,,
27/12/2012,134200,134499,133125,133900,133900,1353,,,,
28/12/2012,133649,133649,132901,133000,133000,1345,,,,
31/12/2012,132500,134596,132400,134060,134060,1198,,,,
02/01/2013,136850,139627,136850,139610,139610,832,,,,
03/01/2013,140000,141476,139278,140549,140549,1002,,,,
04/01/2013,140879,141004,140047,140803,140803,347,,,,
07/01/2013,140949,140949,139731,140190,140190,604,,,,
08/01/2013,140195,141000,139584,141000,141000,617,,,,
09/01/2013,141188,141365,139819,140000,140000,394,,,,
10/01/2013,140750,142000,140247,141768,141768,554,,,,
11/01/2013,142000,142050,141390,141525,141525,402,,,,
14/01/2013,141745,143043,141320,143000,143000,378,,,,
15/01/2013,142544,143401,142131,143205,143205,415,,,,
16/01/2013,143000,143146,142500,142964,142964,496,,,,
17/01/2013,143228,143607,142738,143484,143484,464,,,,
18/01/2013,143700,143792,142670,143502,143502,852,,,,
22/01/2013,143585,144805,143014,144805,144805,685,,,,
23/01/2013,144775,145690,144250,145568,145568,407,,,,
24/01/2013,145635,147250,145635,146227,146227,1158,,,,
25/01/2013,146700,147312,145963,147290,147290,720,,,,
28/01/2013,147475,147475,146420,146720,146720,424,,,,
29/01/2013,146640,146810,146000,146495,146495,571,,,,
30/01/2013,146600,146600,145270,145505,145505,408,,,,
31/01/2013,145250,146150,144555,145875,145875,584,,,,
01/02/2013,146759,148562,146106,147086,147086,477,,,,
04/02/2013,146943,146943,145010,145010,145010,273,,,,
05/02/2013,145879,147323,145879,146825,146825,392,,,,
06/02/2013,146600,147090,146401,146735,146735,406,,,,
07/02/2013,146944,147350,146175,146260,146260,549,,,,
08/02/2013,146320,146686,145521,146374,146374,264,,,,
11/02/2013,146220,146597,145835,145835,145835,173,,,,
12/02/2013,146200,147362,146100,147125,147125,349,,,,
13/02/2013,147126,147767,147046,147750,147750,465,,,,
14/02/2013,147750,149804,147478,149240,149240,500,,,,
15/02/2013,149815,153090,149620,150141,150141,546,,,,
19/02/2013,150250,152498,150099,152498,152498,551,,,,
20/02/2013,152695,153160,151000,151000,151000,1063,,,,
21/02/2013,151002,151369,150048,150500,150500,451,,,,
22/02/2013,151495,152362,150904,152009,152009,481,,,,
25/02/2013,152251,153010,148215,149900,149900,539,,,,
26/02/2013,149524,149599,147950,148320,148320,406,,,,
27/02/2013,148400,152099,148353,151916,151916,479,,,,
28/02/2013,152450,153739,152323,152600,152600,878,,,,
01/03/2013,152364,153500,150800,152750,152750,512,,,,
04/03/2013,152378,153000,150803,152955,152955,974,,,,
05/03/2013,153999,155230,153200,154425,154425,571,,,,
06/03/2013,155000,155369,154208,155095,155095,407,,,,
07/03/2013,155099,155417,154683,155210,155210,460,,,,
08/03/2013,156186,156186,154800,155411,155411,319,,,,
11/03/2013,155950,156210,155200,155978,155978,589,,,,
12/03/2013,156200,156225,153413,154346,154346,545,,,,
13/03/2013,154640,155590,154547,155431,155431,441,,,,
14/03/2013,155900,156455,155501,155990,155990,496,,,,
15/03/2013,155066,155631,153500,153500,153500,1568,,,,
18/03/2013,153300,154251,152883,153241,153241,702,,,,
19/03/2013,153561,154040,152028,152571,152571,600,,,,
20/03/2013,153200,153825,152840,153397,153397,659,,,,
21/03/2013,153080,153812,152682,153000,153000,403,,,,
22/03/2013,153040,154009,152972,153741,153741,220,,,,
25/03/2013,154100,154803,152900,153784,153784,286,,,,
26/03/2013,154120,155708,154066,155708,155708,524,,,,
27/03/2013,155300,155300,154050,154630,154630,227,,,,
28/03/2013,155000,156634,154550,156280,156280,399,,,,
01/04/2013,155800,156684,154744,155253,155253,305,,,,
02/04/2013,155999,158180,155742,157550,157550,618,,,,
03/04/2013,158100,158180,156080,156400,156400,485,,,,
04/04/2013,156740,158330,156586,157557,157557,466,,,,
05/04/2013,155765,156540,155044,156330,156330,480,,,,
08/04/2013,156580,158000,155472,158000,158000,284,,,,
09/04/2013,158150,158201,157183,157570,157570,197,,,,
10/04/2013,157802,159500,157400,159400,159400,428,,,,
11/04/2013,159500,160360,159180,159935,159935,490,,,,
12/04/2013,159650,160525,159461,160525,160525,311,,,,
15/04/2013,160000,161046,156693,157000,157000,616,,,,
16/04/2013,158159,161175,157775,161000,161000,553,,,,
17/04/2013,159600,159650,156554,157700,157700,453,,,,
18/04/2013,157450,157565,154145,154526,154526,413,,,,
19/04/2013,155800,158170,154800,157861,157861,586,,,,
22/04/2013,158200,158490,156230,157342,157342,310,,,,
23/04/2013,158000,160000,158000,159980,159980,471,,,,
24/04/2013,159999,160465,159600,159950,159950,349,,,,
25/04/2013,160460,161969,160339,161025,161025,555,,,,
26/04/2013,161295,161835,159760,160618,160618,456,,,,
29/04/2013,160800,160900,159700,159700,159700,394,,,,
30/04/2013,159899,159950,158450,159000,159000,541,,,,
01/05/2013,159360,160545,159100,159699,159699,549,,,,
02/05/2013,159878,160908,159632,160857,160857,359,,,,
03/05/2013,162350,163771,162345,162904,162904,450,,,,
06/05/2013,166800,166869,164250,164990,164990,716,,,,
07/05/2013,165599,165599,164236,164690,164690,361,,,,
08/05/2013,164901,166273,164150,166273,166273,719,,,,
09/05/2013,166098,166866,165505,166100,166100,295,,,,
10/05/2013,166300,167780,166300,167780,167780,537,,,,
13/05/2013,168207,168500,167133,167380,167380,619,,,,
14/05/2013,168150,169267,167802,169267,169267,550,,,,
15/05/2013,168728,169475,168205,168940,168940,689,,,,
16/05/2013,168700,168700,166944,167303,167303,579,,,,
17/05/2013,168483,169558,167608,169400,169400,787,,,,
20/05/2013,169400,170250,168959,169200,169200,397,,,,
21/05/2013,169700,170000,168844,169189,169189,417,,,,
22/05/2013,169100,170060,166638,167600,167600,725,,,,
23/05/2013,165320,167500,164243,166980,166980,593,,,,
24/05/2013,166137,166137,164940,166020,166020,478,,,,
28/05/2013,168357,168679,167673,168400,168400,547,,,,
29/05/2013,167799,169948,167139,169402,169402,368,,,,
30/05/2013,170000,172440,170000,172200,172200,718,,,,
31/05/2013,172450,172450,170801,171300,171300,394,,,,
03/06/2013,171900,172000,169607,170911,170911,474,,,,
04/06/2013,170703,170900,169360,169850,169850,598,,,,
05/06/2013,169800,169800,166600,167400,167400,661,,,,
06/06/2013,167275,169877,166760,169877,169877,479,,,,
07/06/2013,170351,173256,170351,172900,172900,820,,,,
10/06/2013,173750,173810,172191,172875,172875,429,,,,
11/06/2013,171175,171394,170000,170150,170150,420,,,,
12/06/2013,170823,171580,168996,169195,169195,376,,,,
13/06/2013,169120,172604,168494,172604,172604,416,,,,
14/06/2013,172400,172613,171000,171259,171259,219,,,,
17/06/2013,172280,173332,170850,172710,172710,714,,,,
18/06/2013,172774,173308,172295,172581,172581,554,,,,
19/06/2013,172700,173399,170952,170952,170952,388,,,,
20/06/2013,169663,170749,166485,167900,167900,816,,,,
21/06/2013,168953,169705,166925,168200,168200,542,,,,
24/06/2013,167999,168285,164548,166439,166439,498,,,,
25/06/2013,167483,168420,166514,168314,168314,419,,,,
26/06/2013,169704,170200,168502,169360,169360,491,,,,
27/06/2013,170254,170550,169326,169326,169326,317,,,,
28/06/2013,169294,169294,167639,168600,168600,468,,,,
01/07/2013,169200,170681,169000,169622,169622,330,,,,
02/07/2013,169800,170000,168248,168799,168799,310,,,,
03/07/2013,168140,169009,167520,168976,168976,138,,,,
05/07/2013,169900,172360,169900,172201,172201,502,,,,
08/07/2013,172900,173745,172205,172500,172500,417,,,,
09/07/2013,173480,173839,172700,173741,173741,482,,,,
10/07/2013,173700,173700,171904,172605,172605,311,,,,
11/07/2013,173899,176000,173330,175644,175644,688,,,,
12/07/2013,175199,175792,174909,175505,175505,275,,,,
15/07/2013,175743,176170,175278,175877,175877,211,,,,
16/07/2013,176240,176982,175637,175849,175849,213,,,,
17/07/2013,176451,177112,176269,176341,176341,261,,,,
18/07/2013,176951,177678,176951,177678,177678,469,,,,
19/07/2013,177678,178533,177206,178275,178275,174,,,,
22/07/2013,178900,178900,177856,178223,178223,211,,,,
23/07/2013,178646,178646,177234,177249,177249,391,,,,
24/07/2013,177822,178000,174000,174581,174581,430,,,,
